[$([PX4](=O)(O)(O)O)]                88   P    "Phosphoric Acid P"
[$([O]=[PX4])]                       89   O    "Phosphoric Acid O=P"
[$([OX2H1][PX4])]                    90   O    "Phosphoric Acid P-O-H"
[$([H][OX2H1][PX4])]                 91   H    "Phosphoric Acid H-O-P"
[$([O-][PX4])]                       92   O    "Phosphate O-"

[$([NX3H2][CX3](=[NX3H2])[NX3H2])]   81   N    "Guanidinium N"
[$([H][NX3H2])]                      82   H    "Guanidinium H2N"
[$([CX3](=[NX3H2])[NX3H2])]          83   C    "Guanidinium C"

[nH1]                                96   N    "Uracil N"
[c]                                  93   C    "Uracil C"
[$([H][c])]                          99   H    "Uracil H"
[$([O]=[CX3])]                       102  O    "Uracil O"

[$([CX3](=O)[NX3][CX3]=[CX3][NX3])]     93   C   "Uracil C2"
[$([CX3](=O)[NX3][CX3H1][CX3H1][NX3])]  95   C   "Uracil C4"
[$([CX3H1][CX3](=O)[NX3])]              98   C   "Uracil C5"
[$([CX3H1][NX3][CX3](=O))]              94   C   "Uracil C6"

[$([NX3H1][CX3](=O)[NX3][CX3])]         97   N   "Uracil N1"
[$([NX3H1][CX3](=O)[CX3][NX3])]         96   N   "Uracil N3"
[$([O]=[CX3][NX3])]                     102  O   "Uracil O2"
[$([O]=[CX3][NX3][CX3])]                103  O   "Uracil O4"

[$([H][CX3H1][CX3](=O)[NX3])]           101  H   "Uracil H5"
[$([H][CX3H1][NX3][CX3](=O))]           104  H   "Uracil H6"
